id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_wilson_sonsini","Wilson Sonsini Goodrich & Rosati","https://www.wsgr.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","United States|Silicon Valley|San Francisco Bay Area|New York|Boston|London","verified","","verified"
"ent_fenwick_west","Fenwick & West","https://www.fenwick.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","","unknown","","verified"
"ent_latham_watkins","Latham & Watkins","https://www.lw.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","","unknown","","verified"
"ent_cooley","Cooley","https://www.cooley.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","","unknown","","verified"
"ent_foley_lardner","Foley & Lardner","https://www.foley.com/","Organization","Law Firms","","CEO|CFO|CLO|General Counsel","Law Firms","","United States","verified","","verified"
"ent_dla_piper","DLA Piper","https://www.dlapiper.com/","Organization","Law Firms","","CEO|CFO|CLO|General Counsel","Law Firms","","United States|London|Singapore","verified","","verified"
"ent_simmons_simmons","Simmons & Simmons","https://www.simmons-simmons.com/","Organization","Law Firms","","CFO|CLO|General Counsel","Law Firms","London, United Kingdom","United States|London|Singapore","verified","1896","verified"
"ent_orrick","Orrick","https://www.orrick.com/","Organization","Law Firms","","CEO|CFO|CLO|General Counsel","Law Firms","San Francisco, California, United States","","verified","1863","verified"
"ent_oguz_law","Oguz Law","https://oguz.law/","Organization","Law Firms","","CLO|General Counsel","Law Firms","Walnut Creek, California, United States","United States|San Francisco Bay Area","verified","","verified"
