id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_korn_ferry","Korn Ferry","https://www.kornferry.com/","executive search firm","Executive Search","Consulting|Board Advisory","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","","","unknown","","verified"
"ent_russell_reynolds_associates","Russell Reynolds Associates","https://www.russellreynolds.com/","executive search firm","Executive Search","Board Advisory","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Board Advisory","","","unknown","","verified"
"ent_heidrick_struggles","Heidrick & Struggles","https://www.heidrick.com/","executive search firm","Executive Search","Consulting|Board Advisory","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","","","unknown","","verified"
"ent_spencer_stuart","Spencer Stuart","https://www.spencerstuart.com/","executive search firm","Executive Search","Board Advisory","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|General Counsel|Board","Executive Search|Board Advisory","","","unknown","","verified"
"ent_zrg","ZRG","https://www.zrgpartners.com/","Organization","Executive Search","Consulting","CEO|CHRO|Board","Executive Search|Consulting","Rochelle Park, New Jersey, United States","United States|New York|Boston|Austin|Los Angeles|Chicago|Washington DC|London|Singapore","verified","","verified"
"ent_robert_half","Robert Half","https://www.roberthalf.com/","Organization","Recruiting","Consulting","CFO|CIO|CHRO","Recruiting|Consulting","","","unknown","","verified"
"ent_findem","Findem","https://www.findem.ai/","Organization","HR Technology","Recruiting|Artificial Intelligence","CHRO","HR Technology|Recruiting|Artificial Intelligence","","","unknown","","verified"
"ent_optimhire","OptimHire","https://optimhire.com/","Organization","Recruiting","HR Technology","CHRO|CTO","Recruiting|HR Technology","","","unknown","","verified"
